significance;uniquename;name;searchname;altname;location;gender;born;died;gatewaylink;race;illustrator;placeholder
"2";"adalbertBolger";"Adalbert Bolger";"Adalbert Bolger";"";"Budgeford";"male";"S.R. 1301";"S.R. 1397 (aged 96)";"http://tolkiengateway.net/wiki/Adalbert_Bolger";"Hobbit";"";""
"2";"adaldridaBolger";"Adaldrida Bolger";"Adaldrida Bolger";"";"Buckland";"female";"S.R. 1218";"";"http://tolkiengateway.net/wiki/Adaldrida_Bolger";"Hobbit";"";""
"2";"adalgarBolger";"Adalgar Bolger";"Adalgar Bolger";"";"Budgeford";"male";"S.R. 1215";"S.R. 1314 (aged 99)";"http://tolkiengateway.net/wiki/Adalgar_Bolger";"Hobbit";"";""
"2";"adalgrimTook";"Adalgrim Took";"Adalgrim Took";"";"Great Smials";"male";"S.R. 1280";"S.R. 1382 (aged 102)";"http://tolkiengateway.net/wiki/Adalgrim_Took";"Hobbit";"";""
"3";"adamantaChubb";"Adamanta Chubb";"Adamanta Chubb";"";"Tookland";"female";"";"";"http://tolkiengateway.net/wiki/Adamanta_Chubb";"Hobbit";"";""
"4";"adanel";"Adanel";"Adanel";"";""Hithlum","Dorthonion"";"female";"F.A. 339,Presumably Hithlum";"";"http://tolkiengateway.net/wiki/Adanel";"Adan";"";""
"2";"adelardTook";"Adelard Took";"Adelard Took";"";"";"male";"S.R. 1328";"S.R. 1423 (aged 95)";"http://tolkiengateway.net/wiki/Adelard_Took";"Hobbit";"";""
"3";"adrahil1";"Adrahil I";"Adrahil I";"Prince of Dor-en-Ernil";""Dor-en-Ernil","Gondor"";"male";"Before T.A. 1944 ";"";"http://tolkiengateway.net/wiki/Adrahil_I";"Gondorian";"";""
"2";"adrahil2";"Adrahil II";"Adrahil II";"Prince of Dol Amroth";"";"male";"T.A. 2917 ";"T.A. 3010 (aged 93)";"http://tolkiengateway.net/wiki/Adrahil_II";"Gondorian";"";""
"3";"aegnor";"Aegnor";"Aegnor";""Ambaráto","Aikanáro"";"Dorthonion";"male";"between Y.T. 1300 & 1362, Tirion";"F.A. 455 (aged between 1,777 & 2,371), Dorthonion, Dagor Bragollach";"http://tolkiengateway.net/wiki/Aegnor";"Noldo";"Marya Filatova";""
"2";"aerandir";"Aerandir";"Aerandir";"";"";"";"";"";"http://tolkiengateway.net/wiki/Aerandir";"Sinda";"";""
"2";"aerin";"Aerin";"Aerin";"";"Dor-lómin";"female";"";"";"http://tolkiengateway.net/wiki/Aerin";"Adan";"";""
"3";"agathor";"Agathor";"Agathor";"";"Brethil";"male";"";"";"http://tolkiengateway.net/wiki/Agathor";"Adan";"";""
"2";"aghan";"Aghan";"Aghan";"";"";"male";"";"";"http://tolkiengateway.net/wiki/Aghan";"";"";""
"3";"aglahad";"Aglahad";"Aglahad";"Prince of Dol Amroth";"Gondor";"male";"T.A. 2827 ";"T.A. 2932 (aged 105)";"http://tolkiengateway.net/wiki/Aglahad";"Gondorian";"";""
