significance;uniquename;name;searchname;altname;type;gatewaylink;age;area;canon;illustrator;placeholder
"2";"Adorn";"Adorn";"Adorn";"";"River";"http://tolkiengateway.net/wiki/Adorn";"Third Age";""Middle-earth","Rohan"";"1";"";""
"4";"Adurant";"Adurant";"Adurant";"";"River";"http://tolkiengateway.net/wiki/Adurant";"First Age";""Middle-earth","Rohan"";"1";"";""
"2";"AelinUial";"Aelin-uial";"Aelin-uial";"Meres of Twilight";"Lake";"http://tolkiengateway.net/wiki/Aelin-uial";"First Age";""Middle-earth","Beleriand"";"1";"";""
"3";"Aeluin";"Aeluin";"Aeluin";"Tarn Aeluin";"Lake";"http://tolkiengateway.net/wiki/Aeluin";"First Age";""Middle-earth","Beleriand"";"1";"Ted Nasmith";""
"1";"Afros";"Afros";"Afros";"";"River";"http://tolkiengateway.net/wiki/Afros";"First Age";""Aman","Tol Eressëa"";"2";"";""
"1";"Alalminore";"Alalminórë";"Alalminore";"";"Region";"http://tolkiengateway.net/wiki/Alalmin%C3%B3r%C3%AB";"First Age";""Aman","Tol Eressëa"";"1";"";""
"3";"Aldburg";"Aldburg";"Aldburg";"";"City";"http://tolkiengateway.net/wiki/Aldburg";"First Age";""Middle-earth","Rohan"";"2";"";""
"2";"Almaida";"Almaida";"Almaida";"";"City";"http://tolkiengateway.net/wiki/Almaida";"Third Age";""Middle-earth","Númenor"";"2";"";""
"3";"Almaren";"Almaren";"Almaren";"Isle of Almaren";"Island";"http://tolkiengateway.net/wiki/Almaren";"Third Age";"Middle-earth";"2";"";""
"2";"AllWelcomeInn";"All-Welcome Inn";"All-Welcome Inn";"";"House";"http://tolkiengateway.net/wiki/All-Welcome_Inn";"Third Age";""Middle-earth","The Shire"";"2";"";""
"5";"Alqualonde";"Alqualondë";"Alqualonde";"";"City";"http://tolkiengateway.net/wiki/Alqualond%C3%AB";"First Age";"Middle-earth";"1";"Ted Nasmith";""
"6";"Aman";"Aman";"Aman";""Blessed Realm","Undying Lands"";"Region";"http://tolkiengateway.net/wiki/Aman";"First Age";"Aman";"1";"Ted Nasmith";""
"2";"AmonAnwar";"Amon Anwar";"Amon Anwar";""Eilenaer","Halifirien"";"Mountain";"http://tolkiengateway.net/wiki/Amon_Anwar";"Third Age";""White Mountains","Middle-earth"";"2";"";""
"2";"AmonDarthir";"Amon Darthir";"Amon Darthir";"";"Mountain";"http://tolkiengateway.net/wiki/Amon_Darthir";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"AmonDin";"Amon Dîn";"Amon Din";"Dîn";"Mountain";"http://tolkiengateway.net/wiki/Amon_D%C3%AEn";"Third Age";""White Mountains","Middle-earth"";"1";"";""
"2";"AmonEreb";"Amon Ereb";"Amon Ereb";"";"Mountain";"http://tolkiengateway.net/wiki/Amon_Ereb";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"AmonEthir";"Amon Ethir";"Amon Ethir";"";"Mountain";"http://tolkiengateway.net/wiki/Amon_Ethir";"First Age";""Middle-earth","Beleriand"";"1";"";""
"3";"AmonHen";"Amon Hen";"Amon Hen";"";"Hill";"http://tolkiengateway.net/wiki/Amon_Hen";"Third Age";""Middle-earth","Gondor"";"1";"Kasiopea";""
"3";"AmonObel";"Amon Obel";"Amon Obel";"";"Mountain";"http://tolkiengateway.net/wiki/Amon_Obel";"First Age";""Middle-earth","Beleriand"";"1";"";""
